CLUSTER 0
 - members:
        username: erica (0.359085)                 repo: rails/rails (17.6%)
        username: nullmodem (0.184402)                repo: mikel/mail (5.5%)
        username: mattb (0.184191)                    repo: Caged/gitnub (5.5%)
        username: jasoncale (0.183341)                repo: diaspora/diaspora (5.5%)
        username: boredomist (0.182778)               repo: defunkt/hurl (5.5%)
        username: marcel (0.180492)                   repo: plataformatec/devise (5.5%)
        username: ltratt (0.179372)                   repo: defunkt/github-gem (5.5%)
        username: ckimrie (0.179217)                  repo: defunkt/hub (5.5%)
        username: johlstei (0.178999)                 repo: integrity/integrity (5.5%)
        username: bradford (0.178274)                 repo: defunkt/resque (5.5%)
        username: threedaymonk (0.178072)             repo: euruko2012/call-for-proposals (5.5%)
        username: pseudonym (0.175437)                repo: technoweenie/attachment_fu (5.5%)
        username: shawn42 (0.174667)                  repo: mongodb/mongo-ruby-driver (5.5%)
        username: whitaker (0.173789)                 repo: rubygems/rubygems.org (5.5%)
        username: matthewstevens (0.172972)           repo: foca/integrity (5.5%)
        username: jeremyevans (0.172811)              repo: mattb/identity-matcher (5.5%)
        username: rabble (0.171695)                   repo: chrisk/fakeweb (5.5%)
        username: marcoarment (0.170976)              repo: carlhuda/bundler (5.5%)
        username: mongodb (0.170488)                  repo: mitchellh/vagrant (5.5%)
        username: leafychat (0.169434)                repo: jm/matchy (5.5%)
        username: railsdog (0.167896)                 repo: lifo/tickle (4.1%)
        username: wayneeseguin (0.167737)             repo: threedaymonk/text (4.1%)
        username: mw44118 (0.167421)                  repo: cwensel/cascading (4.1%)
        username: chooh (0.167421)                    repo: bmizerany/guns (4.1%)
        username: icaruswings (0.166001)              repo: rtomayko/rocco (4.1%)
        username: gyazo (0.165792)                    repo: seatgeek/soulmate (4.1%)
        username: tuaw (0.165704)                     repo: soveran/micromachine (4.1%)
        username: wjessop (0.165169)                  repo: seancribbs/webmachine-ruby (4.1%)
        username: stoyan (0.165052)                   repo: chneukirchen/rack (4.1%)
        username: seancribbs (0.164969)               repo: terra-firma/hominid (4.1%)
        username: apenwarr (0.164902)                 repo: mleung/feather (4.1%)
        username: petermichaux (0.164836)             repo: opscode/knife-ec2 (4.1%)
        username: hone (0.164687)                     repo: jcrosby/cloudkit (4.1%)
        username: timkay (0.163176)                   repo: spree/spree (4.1%)
        username: leachim6 (0.163176)                 repo: devfu/rack-payment (4.1%)
        username: starapor (0.163176)                 repo: bmizerany/sinatra-captcha (4.1%)
        username: kzk (0.161648)                      repo: nkallen/arel (4.1%)
        username: mattray (0.157869)                  repo: nakajima/nakajima-tracker (4.1%)
        username: egamble (0.154685)                  repo: mislav/nibbler (4.1%)
        username: olibye (0.150706)                   repo: technoweenie/dealer.js (4.1%)
        username: tpaul09 (0.145133)                  repo: kalasjocke/authlogic_facebook_connect (4.1%)

CLUSTER 6
 - members:
        username: yui (0.435233)                    repo: defunkt/resque (10.0%)
        username: bkeepers (0.322925)               repo: erlang/otp (8.6%)
        username: boundary (0.275096)               repo: Caged/gitnub (8.6%)
        username: mysteryhunt (0.269307)            repo: basho/rebar (8.6%)
        username: schacon (0.265085)                repo: tobi/clarity (8.6%)
        username: ezkl (0.248081)                   repo: mojombo/jekyll (8.6%)
        username: zedshaw (0.238364)                repo: KirinDave/fuzed (8.6%)
        username: skarab (0.229439)                 repo: brynary/webrat (7.1%)
        username: darius (0.227479)                 repo: schacon/showoff (7.1%)
        username: bos (0.219149)                    repo: defunkt/rip (7.1%)
        username: orderedlist (0.217403)            repo: defunkt/ambition (7.1%)
        username: voodootikigod (0.210044)          repo: defunkt/github-gem (7.1%)
        username: bofh (0.209874)                   repo: tarcieri/reia (7.1%)
        username: stack72 (0.208661)                repo: madrobby/keymaster (5.7%)
        username: snej (0.208527)                   repo: kr/beanstalkd (5.7%)
        username: luciferous (0.205628)             repo: madrobby/zepto (5.7%)
        username: manveru (0.201748)                repo: brynary/rack-test (5.7%)
        username: ccgus (0.200668)                  repo: github/github-services (5.7%)
        username: radiant (0.198553)                repo: javan/whenever (5.7%)
        username: tomtaylor (0.195357)              repo: schacon/hg-git (5.7%)
        username: gemleaf74 (0.195015)              repo: evanmiller/erlydtl (5.7%)
        username: bdcaswell (0.195015)              repo: schacon/ticgit (5.7%)
        username: abhay (0.193899)                  repo: rubyist/aasm (5.7%)
        username: rentzsch (0.193367)               repo: entp/seinfeld (5.7%)
        username: blaine (0.192908)                 repo: cloudfoundry/vcap (5.7%)
        username: davidflanagan (0.192893)          repo: documentcloud/jammit (5.7%)
        username: codepo8 (0.192468)                repo: rgrove/sanitize (5.7%)
        username: courtenay (0.192296)              repo: drnic/ruby-on-rails-tmbundle (5.7%)
        username: entp (0.190666)                   repo: extend/cowboy (5.7%)
        username: kevinweil (0.188989)              repo: mojombo/clippy (5.7%)
        username: robmckinnon (0.185192)            repo: schacon/ruby-git (5.7%)
        username: vince (0.184402)                  repo: mojombo/proxymachine (5.7%)
        username: thrashboul (0.184402)             repo: entp/astrotrain (5.7%)
        username: byrichardpowell (0.184402)        repo: mojombo/grit (5.7%)
        username: extjs (0.183972)                  repo: twitter/bootstrap (5.7%)
        username: eric (0.181974)                   repo: cliffmoon/dynomite (5.7%)
        username: RJ (0.181553)                     repo: pauldix/feedzirra (5.7%)
        username: DownChapel (0.179244)             repo: defunkt/mustache (5.7%)
        username: dustin (0.178943)                 repo: nitrogen/nitrogen (5.7%)
        username: ahefner (0.177109)                repo: flogic/whiskey_disk (5.7%)
        username: slavapestov (0.175554)            repo: typhoeus/typhoeus (5.7%)
        username: hmason (0.174230)                 repo: entp/xtt (5.7%)
        username: seanmil (0.173789)                repo: fog/fog (5.7%)
        username: aboltart (0.173789)               repo: chad/gitjour (5.7%)
        username: dkeeps (0.173789)                 repo: hmason/gitmarks (5.7%)
        username: nouvelleniche (0.173789)          repo: cloudhead/http-console (5.7%)
        username: elblinkin (0.172728)              repo: twitter/cassandra (5.7%)
        username: auser (0.172376)                  repo: technoweenie/masochism (5.7%)
        username: jamiebikies (0.171653)            repo: carlhuda/janus (5.7%)
        username: bsag (0.170605)                   repo: square/cube (5.7%)
        username: seaofclouds (0.169906)            repo: jnunemaker/mongomapper (5.7%)
        username: josephruscio (0.169850)           repo: mbostock/d3 (5.7%)
        username: tsnk (0.169617)                   repo: jwiegley/git-scripts (5.7%)
        username: HandBrake (0.169590)              repo: stephencelis/timeframe (5.7%)
        username: smtlaissezfaire (0.169349)        repo: mochi/mochiweb (4.3%)
        username: tolmalev (0.167421)               repo: CocoaPods/CocoaPods (4.3%)
        username: theseer (0.167421)                repo: etsy/statsd (4.3%)
        username: mrpdaemon (0.167421)              repo: josevalim/inherited_resources (4.3%)
        username: aefo (0.167421)                   repo: trifork/erjang (4.3%)
        username: michael1 (0.167421)               repo: mislav/will_paginate (4.3%)
        username: rzk (0.167421)                    repo: maccman/acts_as_recommendable (4.3%)
        username: hakimel (0.167253)                repo: technomancy/emacs-starter-kit (4.3%)
        username: evanmiller (0.165484)             repo: wr0ngway/rubber (4.3%)
        username: tylerhall (0.164531)              repo: Caged/lighthouse-api (4.3%)
        username: dabeaz (0.164047)                 repo: jbarnette/johnson (4.3%)
        username: trotter (0.163970)                repo: trotter/newflow (4.3%)
        username: luvit (0.163176)                  repo: antirez/smaz (4.3%)
        username: nyaxt (0.161116)                  repo: chneukirchen/rack (4.3%)
        username: tonyxyz (0.149850)                repo: visionmedia/express (4.3%)
        username: anthonylongland (0.145133)        repo: protocool/ack-tmbundle (4.3%)

CLUSTER 7
 - members:
        username: mojombo (0.366739)                    repo: mojombo/jekyll (8.3%)
        username: leneghan (0.332986)                   repo: leneghan/scala_dojo (6.9%)
        username: alexspurling (0.290534)               repo: erlang/otp (6.9%)
        username: kosmotaur (0.269307)                  repo: Caged/gitnub (6.9%)
        username: jpbillaud (0.256571)                  repo: unconed/TermKit (6.9%)
        username: yrashk (0.248839)                     repo: mxcl/homebrew (5.6%)
        username: hstothard (0.248081)                  repo: robbyrussell/oh-my-zsh (5.6%)
        username: caoilte (0.237468)                    repo: jeresig/processing-js (5.6%)
        username: nealpoole (0.227613)                  repo: extend/cowboy (5.6%)
        username: MPiccinato (0.226855)                 repo: nvie/gitflow (5.6%)
        username: jchris (0.226276)                     repo: janl/mustache.js (5.6%)
        username: jpf (0.222974)                        repo: mfoemmel/erlang-otp (5.6%)
        username: ripienaar (0.222723)                  repo: twitter/bootstrap (5.6%)
        username: whymirror (0.220689)                  repo: antirez/redis (5.6%)
        username: timblair (0.219811)                   repo: leneghan/scala_dojo_03_funswithoo (5.6%)
        username: msantos (0.215042)                    repo: progrium/hookah (5.6%)
        username: jfarmer (0.207377)                    repo: gimite/web-socket-js (5.6%)
        username: h3xstream (0.205628)                  repo: carlhuda/janus (5.6%)
        username: helenwilliamson (0.205628)            repo: ieure/sicp (5.6%)
        username: bitprophet (0.204539)                 repo: xslogic/phoebus (5.6%)
        username: aperfect (0.203506)                   repo: jcoglan/heist (5.6%)
        username: chriseppstein (0.199393)              repo: leneghan/scala_dojo_02_funswithlists (5.6%)
        username: aron (0.197224)                       repo: devstructure/blueprint (5.6%)
        username: techbelly (0.196685)                  repo: trifork/erjang (4.2%)
        username: ninefour (0.196578)                   repo: jbarnette/johnson (4.2%)
        username: ask (0.192026)                        repo: ileitch/hijack (4.2%)
        username: raphaelbastide (0.191315)             repo: xaviershay/node-amqp (4.2%)
        username: straup (0.191192)                     repo: auser/alice (4.2%)
        username: jonmagic (0.186828)                   repo: tmm1/amqp (4.2%)
        username: raganwald (0.186472)                  repo: schacon/showoff (4.2%)
        username: jcoglan (0.186468)                    repo: zeromq/libzmq (4.2%)
        username: gigamonkey (0.185231)                 repo: schacon/git-scribe (4.2%)
        username: dpp (0.184932)                        repo: thoughtbot/paperclip (4.2%)
        username: tonyg (0.183693)                      repo: agner/agner (4.2%)
        username: zenhob (0.183283)                     repo: tobeytailor/gordon (4.2%)
        username: antirez (0.182658)                    repo: defunkt/jquery-pjax (4.2%)
        username: osteele (0.181625)                    repo: cloudfoundry/vcap (4.2%)
        username: hoverbird (0.180710)                  repo: kennethreitz/requests (4.2%)
        username: infovore (0.179579)                   repo: twitter/snowflake (4.2%)
        username: pcwalton (0.179434)                   repo: paulj/trapeze (4.2%)
        username: AlanQuatermain (0.178350)             repo: davisp/eep0018 (4.2%)
        username: tekkub (0.178119)                     repo: facebook/three20 (4.2%)
        username: barryf (0.177867)                     repo: apenwarr/sshuttle (4.2%)
        username: noelmarkham (0.173789)                repo: osteele/functional-javascript (4.2%)
        username: saralk (0.173789)                     repo: defunkt/mustache (4.2%)
        username: derickr (0.173789)                    repo: cucumber/cucumber (4.2%)
        username: chaoslawful (0.172902)                repo: nitrogen/nitrogen (4.2%)
        username: anotherjesse (0.172159)               repo: play/play (4.2%)
        username: billyrennekamp (0.172138)             repo: progrium/localtunnel (4.2%)
        username: ngsmrk (0.171961)                     repo: timblair/resolver (4.2%)
        username: shashashasha (0.170595)               repo: facebook/tornado (4.2%)
        username: davisp (0.169572)                     repo: pages/pages.github.com (4.2%)
        username: progrium (0.168887)                   repo: discoproject/disco (4.2%)
        username: eston (0.168789)                      repo: altercation/solarized (4.2%)
        username: ianwinter (0.168450)                  repo: ngerakines/etap (4.2%)
        username: jackyhung (0.168442)                  repo: defunkt/resque (4.2%)
        username: artismarti (0.167607)                 repo: robey/kestrel (4.2%)
        username: lab-crossoversounds (0.167421)        repo: basho/webmachine (4.2%)
        username: rightjs (0.167421)                    repo: DmitryBaranovskiy/raphael (4.2%)
        username: emuzis (0.166739)                     repo: evan/memcached (4.2%)
        username: karlcow (0.165861)                    repo: mojombo/sf-vegetarian-restaurants (4.2%)
        username: bleikamp (0.164903)                   repo: krestenkrab/triq (4.2%)
        username: ericcj (0.164475)                     repo: timblair/restfulcf (4.2%)
        username: jheer (0.163765)                      repo: dansimpson/amqp-js (4.2%)
        username: rfonglip (0.163176)                   repo: mozilla/pdf.js (4.2%)
        username: corbanbrook (0.163110)                repo: clojure/clojurescript (4.2%)
        username: samth (0.162681)                      repo: h5bp/html5-boilerplate (4.2%)
        username: eentzel (0.161761)                    repo: davisp/emonk (4.2%)
        username: ultraninja (0.161674)                 repo: benoitc/couchbeam (4.2%)
        username: moocode (0.157869)                    repo: ostinelli/misultin (4.2%)
        username: virtualfunction (0.157869)            repo: uwiger/unsplit (2.8%)
        username: ganly (0.157869)                      repo: raphaelbastide/blo (2.8%)

CLUSTER 8
 - members:
        username: facebook (0.367388)                repo: h5bp/html5-boilerplate (14.7%)
        username: sorbits (0.358985)                 repo: twitter/bootstrap (13.3%)
        username: tjweir (0.315577)                  repo: janl/mustache.js (12.0%)
        username: atmos (0.288908)                   repo: documentcloud/backbone (12.0%)
        username: mrdoob (0.287444)                  repo: joyent/node (10.7%)
        username: odersky (0.270568)                 repo: jashkenas/coffee-script (10.7%)
        username: breakpointer (0.269550)            repo: antirez/redis (10.7%)
        username: madrobby (0.254539)                repo: mbostock/d3 (10.7%)
        username: leevigraham (0.248566)             repo: madrobby/keymaster (9.3%)
        username: brandonkelly (0.247812)            repo: tobeytailor/gordon (9.3%)
        username: lodewijk (0.245534)                repo: defunkt/mustache (9.3%)
        username: alexscordellis (0.242562)          repo: documentcloud/underscore (9.3%)
        username: newism (0.235327)                  repo: stubbornella/oocss (9.3%)
        username: jashkenas (0.233362)               repo: mrdoob/three.js (9.3%)
        username: mdesign (0.229460)                 repo: etsy/statsd (8.0%)
        username: bradfitz (0.225048)                repo: mxcl/homebrew (8.0%)
        username: ysks (0.223822)                    repo: raycmorgan/Mu (8.0%)
        username: experience (0.220159)              repo: sstephenson/rbenv (8.0%)
        username: kangax (0.219280)                  repo: dhgamache/Skeleton (8.0%)
        username: EchoTeam (0.205909)                repo: jed/fab (8.0%)
        username: BigEd (0.205628)                   repo: daneden/animate.css (8.0%)
        username: fwhacking (0.205628)               repo: xdissent/ievms (6.7%)
        username: chemicaloliver (0.205628)          repo: kr/beanstalkd (6.7%)
        username: janl (0.204160)                    repo: madrobby/zepto (6.7%)
        username: mattly (0.203350)                  repo: visionmedia/express (6.7%)
        username: kennytilton (0.203235)             repo: Seldaek/slippy (6.7%)
        username: nzakas (0.202226)                  repo: mojombo/mustache.erl (6.7%)
        username: stubbornella (0.201733)            repo: ezmobius/nanite (6.7%)
        username: GrabNetworks (0.200322)            repo: defunkt/unicorn (6.7%)
        username: cloudhead (0.200218)               repo: pivotal/jasmine (6.7%)
        username: pleonasm (0.198553)                repo: cloudhead/http-console (6.7%)
        username: ljsc (0.194129)                    repo: hookio/hook.io (6.7%)
        username: manuelpichler (0.188647)           repo: gimite/web-socket-js (6.7%)
        username: donavanm (0.188647)                repo: EllisLab/CodeIgniter (6.7%)
        username: cowmanifestation (0.187220)        repo: defunkt/resque (6.7%)
        username: timkelty (0.186656)                repo: pixelandtonic/pt_field_pack (6.7%)
        username: jdalton (0.186550)                 repo: Pita/etherpad-lite (6.7%)
        username: matthewpennell (0.185452)          repo: mojombo/jekyll (6.7%)
        username: ASKBOT (0.184402)                  repo: ngenworks/nGen-File-Field (6.7%)
        username: ded (0.179770)                     repo: zaach/jison (6.7%)
        username: MoritzStefaner (0.179475)          repo: chriseppstein/compass (5.3%)
        username: shawnbot (0.175997)                repo: travis-ci/travis-ci (5.3%)
        username: jasondavies (0.171927)             repo: mranney/node_redis (5.3%)
        username: andreiz (0.171065)                 repo: schacon/showoff (5.3%)
        username: nzoschke (0.170996)                repo: etsy/deployinator (5.3%)
        username: mranney (0.170819)                 repo: jgm/pandoc (5.3%)
        username: benoitc (0.169755)                 repo: probablycorey/seriously (5.3%)
        username: kolektiv (0.169447)                repo: soveran/ohm (5.3%)
        username: jgv (0.168736)                     repo: robbyrussell/oh-my-zsh (5.3%)
        username: scytrin (0.168480)                 repo: madrobby/emile (5.3%)
        username: antifuchs (0.168139)               repo: mathiasbynens/dotfiles (5.3%)
        username: stassats (0.168012)                repo: opscode/chef (5.3%)
        username: jagregory (0.167666)               repo: isaacs/npm (5.3%)
        username: alanhogan (0.167527)               repo: facebook/connect-js (5.3%)
        username: jjhamshaw (0.167421)               repo: jchris/couchapp (5.3%)
        username: bpierre (0.167421)                 repo: caolan/async (5.3%)
        username: zethraeus (0.167421)               repo: nvie/gitflow (5.3%)
        username: discoltk (0.167421)                repo: b4winckler/macvim (5.3%)
        username: cwarden (0.167421)                 repo: sstephenson/prototype (5.3%)
        username: koblin (0.167269)                  repo: simplegeo/polymaps (5.3%)
        username: Gozala (0.166542)                  repo: elixir-lang/elixir (5.3%)
        username: sintaxi (0.165777)                 repo: josephg/ShareJS (5.3%)
        username: merlinmann (0.165042)              repo: apenwarr/bup (5.3%)
        username: jamierumbelow (0.164753)           repo: NYTimes/Emphasis (5.3%)
        username: stuartloxton (0.163457)            repo: Caged/gitnub (5.3%)
        username: ickymettle (0.163176)              repo: kneath/kss (5.3%)
        username: textgoeshere (0.163176)            repo: cloudhead/vows (5.3%)
        username: romannurik (0.163176)              repo: nitrogen/nitrogen (5.3%)
        username: chrisrhee (0.163176)               repo: assaf/zombie (5.3%)
        username: davidpersson (0.163176)            repo: progit/progit (5.3%)
        username: dockpanelsuite (0.163176)          repo: headjs/headjs (5.3%)
        username: GarrettS (0.162455)                repo: typhoeus/typhoeus (5.3%)
        username: bobbysmith007 (0.160987)           repo: marcuswestin/store.js (5.3%)
        username: wlangstroth (0.146172)             repo: necolas/normalize.css (5.3%)
        username: pusewicz (0.145133)                repo: bmizerany/sinatra (5.3%)

CLUSTER 9
 - members:
        username: defunkt (0.606530)                  repo: joyent/node (41.2%)
        username: jeresig (0.411863)                  repo: jquery/jquery (25.8%)
        username: odalet (0.336732)                   repo: mrdoob/three.js (20.6%)
        username: maccman (0.285344)                  repo: h5bp/html5-boilerplate (20.6%)
        username: igrigorik (0.265402)                repo: documentcloud/backbone (20.6%)
        username: doublec (0.265050)                  repo: isaacs/npm (19.6%)
        username: paulirish (0.261424)                repo: mbostock/d3 (18.6%)
        username: substack (0.259443)                 repo: tobeytailor/gordon (16.5%)
        username: visionmedia (0.251497)              repo: caolan/async (16.5%)
        username: isaacs (0.249260)                   repo: twitter/bootstrap (16.5%)
        username: jamiepittock (0.244622)             repo: jquery/sizzle (16.5%)
        username: ryanirelan (0.238760)               repo: tmpvar/jsdom (15.5%)
        username: jquery (0.236172)                   repo: cowboy/grunt (15.5%)
        username: remy (0.233585)                     repo: Modernizr/Modernizr (14.4%)
        username: WardCunningham (0.232920)           repo: LearnBoost/socket.io (14.4%)
        username: greggman (0.231916)                 repo: documentcloud/underscore (14.4%)
        username: scottjehl (0.229972)                repo: LearnBoost/socket.io-client (14.4%)
        username: tlrobinson (0.228268)               repo: unconed/TermKit (14.4%)
        username: misza222 (0.226855)                 repo: nzakas/computer-science-in-javascript (14.4%)
        username: Marak (0.225423)                    repo: senchalabs/connect (14.4%)
        username: waynemoore (0.224648)               repo: visionmedia/express (13.4%)
        username: davglass (0.218507)                 repo: janl/mustache.js (13.4%)
        username: DTrejo (0.215351)                   repo: mishoo/UglifyJS (13.4%)
        username: padolsey (0.207198)                 repo: substack/dnode (12.4%)
        username: anandology (0.206797)               repo: lloyd/JSONSelect (12.4%)
        username: tomwys (0.205628)                   repo: rwldrn/idiomatic.js (12.4%)
        username: davekeck (0.205628)                 repo: joyent/libuv (12.4%)
        username: natekoechley (0.204946)             repo: cloudhead/http-console (12.4%)
        username: necolas (0.202657)                  repo: hookio/hook.io (12.4%)
        username: rvirding (0.198886)                 repo: brianleroux/lawnchair (12.4%)
        username: allmarkedup (0.196454)              repo: subtleGradient/javascript-tools.tmbundle (11.3%)
        username: indexzero (0.196189)                repo: nodejitsu/node-http-proxy (11.3%)
        username: brianleroux (0.196088)              repo: substack/node-optimist (11.3%)
        username: mathiasbynens (0.194086)            repo: jquery/testswarm (11.3%)
        username: subtleGradient (0.193446)           repo: visionmedia/masteringnode (11.3%)
        username: migurski (0.191841)                 repo: getify/LABjs (11.3%)
        username: kswedberg (0.190095)                repo: timrwood/moment (11.3%)
        username: alteredq (0.188992)                 repo: DmitryBaranovskiy/raphael (11.3%)
        username: dwiskus (0.188951)                  repo: h5bp/lazyweb-requests (11.3%)
        username: felixge (0.188668)                  repo: scottjehl/Respond (11.3%)
        username: cowboy (0.188182)                   repo: sorccu/cufon (11.3%)
        username: holydevil (0.187940)                repo: xdissent/ievms (10.3%)
        username: leafo (0.187544)                    repo: ariya/esprima (10.3%)
        username: joemccann (0.185696)                repo: felixge/node-dirty (10.3%)
        username: quirkey (0.185438)                  repo: bestiejs/lodash (10.3%)
        username: gordonbrander (0.184756)            repo: defunkt/jquery-pjax (10.3%)
        username: mikeal (0.184586)                   repo: CloudMade/Leaflet (10.3%)
        username: pkrumins (0.183407)                 repo: madrobby/emile (10.3%)
        username: guille (0.183157)                   repo: jquery/jquery-ui (10.3%)
        username: DmitryBaranovskiy (0.182753)        repo: harthur/brain (10.3%)
        username: RandomEtc (0.182642)                repo: phiggins42/has.js (10.3%)
        username: lmorchard (0.181111)                repo: jashkenas/docco (10.3%)
        username: nimbupani (0.181069)                repo: visionmedia/jade (10.3%)
        username: desandro (0.181013)                 repo: miksago/node-websocket-server (10.3%)
        username: tmpvar (0.179316)                   repo: mojombo/jekyll (10.3%)
        username: tobie (0.178801)                    repo: paperjs/paper.js (10.3%)
        username: sebmarkbage (0.178692)              repo: madrobby/keymaster (9.3%)
        username: philadams (0.176195)                repo: SlexAxton/yepnope.js (9.3%)
        username: kmcd (0.176169)                     repo: brianleroux/xui (9.3%)
        username: Econify (0.175912)                  repo: raycmorgan/Mu (9.3%)
        username: premasagar (0.174676)               repo: rsms/kod (9.3%)
        username: rmurphey (0.174458)                 repo: chjj/marked (9.3%)
        username: pushy (0.173789)                    repo: dannycoates/node-inspector (9.3%)
        username: adamsilver (0.173789)               repo: visionmedia/git-extras (9.3%)
        username: tkabbs (0.173789)                   repo: daleharvey/pouchdb (9.3%)
        username: ahume (0.173688)                    repo: antirez/redis (9.3%)
        username: maxogden (0.172515)                 repo: quirkey/sammy (9.3%)
        username: LeaVerou (0.172445)                 repo: adobe/brackets (9.3%)
        username: savetheclocktower (0.172362)        repo: stubbornella/oocss (9.3%)
        username: mklabs (0.171386)                   repo: joshuaclayton/blueprint-css (9.3%)
        username: miksago (0.170065)                  repo: jed/fab (9.3%)
        username: addyosmani (0.169936)               repo: aredridel/html5 (8.2%)
        username: assaf (0.168542)                    repo: wycats/handlebars.js (8.2%)
        username: shapeshed (0.168431)                repo: thatcher/env-js (8.2%)
        username: davidpadbury (0.168234)             repo: joehewitt/scrollability (8.2%)
        username: lukegalea (0.168133)                repo: LearnBoost/mongoose (8.2%)
        username: michael (0.167891)                  repo: madrobby/zepto (8.2%)
        username: anthonyshort (0.167662)             repo: mranney/node_redis (8.2%)
        username: tomasdev (0.167421)                 repo: flatiron/director (8.2%)
        username: LeDominik (0.167421)                repo: mnutt/hummingbird (8.2%)
        username: fat (0.166092)                      repo: LearnBoost/node-canvas (8.2%)
        username: rwldrn (0.165239)                   repo: fictorial/redis-node-client (8.2%)
        username: amphibian (0.164497)                repo: josephg/ShareJS (8.2%)
        username: SlexAxton (0.164006)                repo: cloudhead/vows (8.2%)
        username: coleGillespie (0.163952)            repo: necolas/normalize.css (8.2%)
        username: joelbradbury (0.163673)             repo: danlucraft/git.js (8.2%)
        username: aredridel (0.163557)                repo: zpoley/json-command (8.2%)
        username: leesbian (0.163176)                 repo: defunkt/github-gem (8.2%)
        username: jamesrose (0.163176)                repo: einars/js-beautify (8.2%)
        username: 7CIgmcwhinney (0.163176)            repo: filamentgroup/Responsive-Images (8.2%)
        username: pastaclub (0.163176)                repo: bnoguchi/everyauth (8.2%)
        username: kig (0.163008)                      repo: visionmedia/mocha (8.2%)
        username: ithinkihaveacat (0.161485)          repo: cloudhead/cradle (8.2%)
        username: ppierre (0.153848)                  repo: mozilla/browserid (8.2%)
        username: feiphoon (0.149909)                 repo: cloudhead/less.js (8.2%)
        username: tonysoper (0.149850)                repo: hij1nx/weld (8.2%)
        username: RubyKoder (0.145133)                repo: sstephenson/stitch (8.2%)

CLUSTER 10
 - members:
        username: ry (0.303758)                     repo: joyent/node (42.4%)
        username: creationix (0.299469)             repo: mishoo/UglifyJS (20.0%)
        username: IAmFledge (0.280451)              repo: mrdoob/three.js (20.0%)
        username: evanw (0.280291)                  repo: mxcl/homebrew (18.8%)
        username: kneath (0.277351)                 repo: harvesthq/chosen (18.8%)
        username: kcunning (0.277169)               repo: documentcloud/backbone (18.8%)
        username: simonw (0.276166)                 repo: rsms/kod (17.6%)
        username: EyesOfArgus (0.269307)            repo: DmitryBaranovskiy/raphael (17.6%)
        username: sarenji (0.269307)                repo: visionmedia/express (16.5%)
        username: claunia (0.269307)                repo: jquery/jquery (16.5%)
        username: paraffin (0.269307)               repo: quirkey/sammy (16.5%)
        username: chneukirchen (0.265837)           repo: h5bp/html5-boilerplate (16.5%)
        username: hij1nx (0.264622)                 repo: facebook/three20 (15.3%)
        username: jimeh (0.250394)                  repo: unconed/TermKit (15.3%)
        username: ericflo (0.237458)                repo: mbostock/d3 (15.3%)
        username: jacobian (0.236669)               repo: twitter/bootstrap (14.1%)
        username: adamhope (0.232379)               repo: bartaz/impress.js (14.1%)
        username: mmalone (0.230146)                repo: django/django-old (14.1%)
        username: Caged (0.228644)                  repo: defunkt/jquery-pjax (12.9%)
        username: lojjic (0.227452)                 repo: tobeytailor/gordon (11.8%)
        username: sstephenson (0.224149)            repo: jashkenas/coffee-script (11.8%)
        username: kristoferbaxter (0.223923)        repo: dannycoates/node-inspector (11.8%)
        username: kastner (0.216362)                repo: LearnBoost/socket.io (11.8%)
        username: pquerna (0.215717)                repo: danlucraft/git.js (11.8%)
        username: jbonilla (0.206507)               repo: facebook/tornado (11.8%)
        username: alex (0.206441)                   repo: brotherbard/gitx (11.8%)
        username: tciuro (0.205628)                 repo: sorccu/cufon (11.8%)
        username: mbostock (0.199972)               repo: sintaxi/phonegap (11.8%)
        username: kragen (0.198848)                 repo: madrobby/zepto (10.6%)
        username: marcoVermeulen (0.198553)         repo: tmpvar/jsdom (10.6%)
        username: rsms (0.198213)                   repo: kennethreitz/requests (10.6%)
        username: jzaefferer (0.195708)             repo: toastdriven/django-haystack (10.6%)
        username: mechanicalgirl (0.194114)         repo: nvie/gitflow (10.6%)
        username: worrydream (0.194064)             repo: janl/mustache.js (10.6%)
        username: mape (0.190024)                   repo: twitter/twui (10.6%)
        username: seattlerb (0.185550)              repo: documentcloud/underscore (10.6%)
        username: tommoor (0.184508)                repo: joyent/libuv (10.6%)
        username: curiousdannii (0.184402)          repo: timrwood/moment (10.6%)
        username: dafydd (0.183586)                 repo: ariya/phantomjs (10.6%)
        username: robhudson (0.182592)              repo: mojombo/jekyll (10.6%)
        username: mitsuhiko (0.181725)              repo: kripken/emscripten (10.6%)
        username: kennethreitz (0.181087)           repo: mitsuhiko/flask (10.6%)
        username: joshthecoder (0.181030)           repo: mozilla/rust (10.6%)
        username: amazingsyco (0.180015)            repo: senchalabs/connect (10.6%)
        username: vic (0.179622)                    repo: wycats/handlebars.js (9.4%)
        username: mariusaeriksen (0.177574)         repo: robbyrussell/oh-my-zsh (9.4%)
        username: indutny (0.177422)                repo: saymedia/remoteobjects (9.4%)
        username: briantrice (0.176998)             repo: kennethreitz/osx-gcc-installer (9.4%)
        username: ldevesine (0.175912)              repo: isaacs/npm (9.4%)
        username: brandonaaron (0.175311)           repo: josephg/ShareJS (9.4%)
        username: rsanchez (0.173625)               repo: antirez/redis (9.4%)
        username: lilmuckers (0.173321)             repo: django-debug-toolbar/django-debug-toolbar (9.4%)
        username: chrismessina (0.173245)           repo: django/django (9.4%)
