CLUSTER 0
 - members:
        username: richhickey (1.000000)                 repo: joyent/node (118)
        username: aaronzirbes (0.184402)                repo: jferris/effigy (20)
        username: vince (0.184402)                      repo: harthur/brain (20)
        username: thrashboul (0.184402)                 repo: chneukirchen/styleguide (20)
        username: benjaminoakes (0.184402)              repo: nathanmarz/cascalog (20)
        username: a1ip (0.184402)                       repo: paulasmuth/fnordmetric (20)
        username: silicon (0.184402)                    repo: cloudhead/toto (20)
        username: ASKBOT (0.184402)                     repo: nitrogen/nitrogen (20)
        username: byrichardpowell (0.184402)            repo: progit/progit (20)
        username: ollierattue (0.184402)                repo: pdfkit/pdfkit (20)
        username: gautammalhotra (0.184402)             repo: progrium/localtunnel (20)
        username: mocomatics (0.184402)                 repo: einars/js-beautify (20)
        username: particle (0.184402)                   repo: wycats/merb-more (20)
        username: angelkurisu (0.184402)                repo: sstephenson/ruby-build (20)
        username: nullmodem (0.184402)                  repo: kennethreitz/legit (20)
        username: curiousdannii (0.184402)              repo: timburks/nu (20)
        username: mattb (0.184191)                      repo: pokeb/asi-http-request (20)
        username: luis-ca (0.184190)                    repo: rails/arel (20)
        username: extjs (0.183972)                      repo: jcoglan/heist (20)
        username: gigasquid (0.183906)                  repo: msgpack/msgpack (20)
        username: tonyg (0.183693)                      repo: cwninja/geminabox (20)
        username: example42 (0.183622)                  repo: scottjehl/Respond (20)
        username: dafydd (0.183586)                     repo: mozilla/narcissus (20)
        username: mattetti (0.183416)                   repo: mojombo/bertrpc (20)
        username: pkrumins (0.183407)                   repo: ostinelli/misultin (20)
        username: stuartsierra (0.183355)               repo: imakewebthings/deck.js (20)
        username: evanphx (0.183354)                    repo: stephencelis/timeframe (20)
        username: jasoncale (0.183341)                  repo: jm/matchy (20)
        username: zenhob (0.183283)                     repo: nddrylliog/ooc (20)
        username: guille (0.183157)                     repo: lifo/tickle (19)
        username: boredomist (0.182778)                 repo: rtomayko/rocco (19)
        username: DmitryBaranovskiy (0.182753)          repo: luislavena/rake-compiler (19)
        username: antirez (0.182658)                    repo: GenTiradentes/tinyvm (19)
        username: RandomEtc (0.182642)                  repo: drnic/copy-as-rtf-tmbundle (19)
        username: robhudson (0.182592)                  repo: libgit2/libgit2 (19)
        username: svenfuchs (0.182392)                  repo: adamwiggins/rush (19)
        username: eric (0.181974)                       repo: stonean/slim (19)
        username: Chouser (0.181837)                    repo: maccman/spine (19)
        username: mitsuhiko (0.181725)                  repo: entp/warehouse (19)
        username: osteele (0.181625)                    repo: github/janky (19)
        username: CodeBlock (0.181563)                  repo: taf2/curb (19)
        username: RJ (0.181553)                         repo: noir-clojure/noir (19)
        username: hassy (0.181535)                      repo: substack/node-optimist (19)
        username: willhui (0.181502)                    repo: cloudera/flume (19)
        username: maddox (0.181323)                     repo: twitter/snowflake (19)
        username: sritchie (0.181246)                   repo: mattt/Chroma-Hash (19)
        username: lmorchard (0.181111)                  repo: rtomayko/replicate (19)
        username: kennethreitz (0.181087)               repo: facebook/connect-js (19)
        username: ddollar (0.181073)                    repo: github/markup (19)
        username: nimbupani (0.181069)                  repo: peterc/whatlanguage (19)
        username: joshthecoder (0.181030)               repo: rwldrn/idiomatic.js (19)
        username: desandro (0.181013)                   repo: facebook/scribe (19)
        username: jtauber (0.180820)                    repo: github/dmca (19)
        username: hoverbird (0.180710)                  repo: tizoc/bureaucrat (19)
        username: jeremy (0.180537)                     repo: benhoskings/babushka (19)
        username: james (0.180524)                      repo: technicalpickles/homesick (19)
        username: marcel (0.180492)                     repo: engineyard/vertebra (19)
        username: therealadam (0.180228)                repo: flogic/whiskey_disk (19)
        username: ninjudd (0.180037)                    repo: jimweirich/rake (19)
        username: amazingsyco (0.180015)                repo: play/play (19)
        username: slyrus (0.179965)                     repo: socketstream/socketstream (19)
        username: ieure (0.179887)                      repo: capistrano/capistrano (19)
        username: oleganza (0.179784)                   repo: marcuswestin/store.js (19)
        username: ded (0.179770)                        repo: josh/wysihat (19)
        username: akovalenko (0.179752)                 repo: tlrobinson/narwhal (19)
        username: vic (0.179622)                        repo: joelthelion/autojump (19)
        username: infovore (0.179579)                   repo: janl/awesome (19)
        username: foca (0.179536)                       repo: ender-js/Ender (19)
        username: MoritzStefaner (0.179475)             repo: auser/poolparty (19)
        username: pcwalton (0.179434)                   repo: visionmedia/mocha (19)
        username: ltratt (0.179372)                     repo: balupton/history.js (19)
        username: jvinding (0.179348)                   repo: LockerProject/Locker (19)
        username: tmpvar (0.179316)                     repo: geemus/excon (19)
        username: DownChapel (0.179244)                 repo: adamwiggins/scanty (19)
        username: ckimrie (0.179217)                    repo: ricardochimal/taps (19)
        username: robashton (0.179085)                  repo: LearnBoost/stylus (19)
        username: joshuaclayton (0.179057)              repo: ztellman/penumbra (19)
        username: johlstei (0.178999)                   repo: grosser/smusher (18)
        username: mattknox (0.178964)                   repo: Fingertips/headless-squirrel (18)
        username: dustin (0.178943)                     repo: trifork/erjang (18)
        username: manuel (0.178904)                     repo: zedshaw/mongrel2 (18)
        username: methodmissing (0.178834)              repo: antirez/smaz (18)
        username: tobie (0.178801)                      repo: astro/ruby-collectd (18)
        username: andrewgarner (0.178773)               repo: jodosha/redis-store (18)
        username: dbyrne (0.178747)                     repo: etsy/deployinator (18)
        username: nibrahim (0.178734)                   repo: jenkinsci/jenkins.rb (18)
        username: sebmarkbage (0.178692)                repo: sr/git-wiki (18)
        username: davidsantiago (0.178690)              repo: scrooloose/nerdtree (18)
        username: carllerche (0.178559)                 repo: nkallen/arel (18)
        username: pengwynn (0.178487)                   repo: kanaka/noVNC (18)
        username: AlanQuatermain (0.178350)             repo: kennethkalmer/daemon-kit (18)
        username: bradford (0.178274)                   repo: markevans/dragonfly (18)
        username: coreyhaines (0.178151)                repo: johnewart/ruby-metrics (18)
        username: dstrelau (0.178140)                   repo: bjeanes/ghost (18)
        username: tekkub (0.178119)                     repo: courtenay/splam (18)
        username: threedaymonk (0.178072)               repo: flavorjones/loofah (18)
        username: probablycorey (0.177999)              repo: pivotal/desert (18)
        username: nateware (0.177938)                   repo: tmm1/hotspots (18)
        username: barryf (0.177867)                     repo: methodmissing/scrooge (18)
        username: paulca (0.177615)                     repo: achiu/consular (18)
        username: mariusaeriksen (0.177574)             repo: maccman/juggernaut (18)
        username: indutny (0.177422)                    repo: mmangino/facebooker (18)
        username: ahefner (0.177109)                    repo: driverdan/dropship (18)
        username: briantrice (0.176998)                 repo: drnic/github-tmbundle (18)
        username: krl (0.176973)                        repo: jrburke/requirejs (18)
        username: caius (0.176967)                      repo: errbit/errbit (18)
        username: lwmruby (0.176934)                    repo: jshint/jshint (18)
        username: jstoker (0.176497)                    repo: razorjack/quicksand (18)
        username: nrnrnr (0.176388)                     repo: carllerche/astaire (18)
        username: garethr (0.176204)                    repo: nodejitsu/forever (18)
        username: philadams (0.176195)                  repo: xing/wysihtml5 (18)
        username: kmcd (0.176169)                       repo: creationix/do (18)
        username: shawnbot (0.175997)                   repo: quartzjer/TeleHash (18)
        username: Econify (0.175912)                    repo: timcharper/rubyamp (18)
        username: ziz (0.175912)                        repo: miksago/node-websocket-server (18)
        username: ldevesine (0.175912)                  repo: sstephenson/execjs (18)
        username: XAMPP (0.175910)                      repo: tenderlove/texticle (18)
        username: ihh (0.175810)                        repo: plataformatec/simple_form (18)
        username: cwninja (0.175654)                    repo: holman/boom (18)
        username: xach (0.175621)                       repo: laktek/realie (18)
        username: kbranigan (0.175558)                  repo: binarylogic/searchlogic (18)
        username: slavapestov (0.175554)                repo: ztellman/lamina (18)
        username: pseudonym (0.175437)                  repo: zaach/jison (18)
        username: brandonaaron (0.175311)               repo: mitsuhiko/flask (18)
        username: cypher (0.175261)                     repo: mislav/hanna (18)
        username: premasagar (0.174676)                 repo: technomancy/clojure-mode (18)
        username: shawn42 (0.174667)                    repo: jm/rails-templates (18)
        username: aboodman (0.174605)                   repo: technoweenie/twitter-node (18)
        username: rmurphey (0.174458)                   repo: mongodb/node-mongodb-native (18)
        username: eldarion (0.174242)                   repo: tjake/Solandra (18)
        username: hmason (0.174230)                     repo: thoughtbot/hoptoad_notifier (17)
        username: nickoneill (0.174136)                 repo: nkallen/screw-unit (17)
        username: erikreagan (0.174047)                 repo: auser/alice (17)
        username: jmhodges (0.173831)                   repo: intridea/tweetstream (17)
        username: noelmarkham (0.173789)                repo: TTimo/doom3.gpl (17)
        username: pushy (0.173789)                      repo: douglascrockford/JSLint (17)
        username: adamsilver (0.173789)                 repo: desandro/masonry (17)
        username: saralk (0.173789)                     repo: benschwarz/amnesia (17)
        username: asmala (0.173789)                     repo: guille/node.websocket.js (17)
        username: GillesHaverbeke (0.173789)            repo: purplefox/vert.x (17)
        username: whitaker (0.173789)                   repo: EightMedia/hammer.js (17)
        username: samofals (0.173789)                   repo: philogb/jit (17)
        username: derickr (0.173789)                    repo: mozilla/skywriter (17)
        username: seanmil (0.173789)                    repo: basho/riak (17)
        username: akapav (0.173789)                     repo: mbleigh/twitter-auth (17)
        username: aboltart (0.173789)                   repo: tbranyen/backbone-boilerplate (17)
        username: hanwen (0.173789)                     repo: boundary/folsom (17)
        username: dkeeps (0.173789)                     repo: auxesis/visage (17)
        username: nemustech (0.173789)                  repo: relevance/tarantula (17)
        username: tkabbs (0.173789)                     repo: nicolasff/webdis (17)
        username: nouvelleniche (0.173789)              repo: daleharvey/pouchdb (17)
        username: ahume (0.173688)                      repo: maccman/saasy (17)
        username: rsanchez (0.173625)                   repo: intridea/oauth2 (17)
        username: samsoffes (0.173380)                  repo: citrusbyte/contest (17)
        username: lilmuckers (0.173321)                 repo: celery/celery (17)
        username: bmabey (0.173283)                     repo: luna/luna (17)
        username: chrismessina (0.173245)               repo: ryanb/dotfiles (17)
        username: matthewstevens (0.172972)             repo: oggy/looksee (17)
        username: chaoslawful (0.172902)                repo: smtlaissezfaire/ndb (17)
        username: jeremyevans (0.172811)                repo: dsboulder/query_reviewer (17)
        username: elblinkin (0.172728)                  repo: dantebronto/picard (17)
        username: jeffh (0.172728)                      repo: macournoyer/min (17)
        username: michalmarczyk (0.172663)              repo: seejohnrun/ice_cube (17)
        username: jacqui (0.172639)                     repo: discoproject/disco (17)
        username: maxogden (0.172515)                   repo: freels/table_migrator (17)
        username: LeaVerou (0.172445)                   repo: rbranson/node-ffi (17)
        username: auser (0.172376)                      repo: icefox/git-achievements (17)
        username: savetheclocktower (0.172362)          repo: marcel/twurl (17)
        username: jhaynie (0.172327)                    repo: nddrylliog/rock (17)
        username: anotherjesse (0.172159)               repo: hassox/pancake (17)
        username: billyrennekamp (0.172138)             repo: engineyard/ey-cloud-recipes (17)
        username: luismbo (0.172105)                    repo: bfirsh/jsnes (17)
        username: howiworkdaily (0.172086)              repo: relevance/labrepl (17)
        username: pvh (0.172051)                        repo: Pita/etherpad-lite (17)
        username: jcrosby (0.172024)                    repo: rentzsch/clicktoflash (17)
        username: andrewjbaker (0.171969)               repo: aphyr/riemann (17)
        username: ngsmrk (0.171961)                     repo: jscruggs/metric_fu (17)
        username: ioptics (0.171945)                    repo: grosser/parallel (17)
        username: TwP (0.171939)                        repo: ericflo/hurricane (17)
        username: jasondavies (0.171927)                repo: bvandenbos/resque-scheduler (17)
        username: git (0.171895)                        repo: cucumber/cucumber-rails (17)
        username: nathansmith (0.171765)                repo: ccgus/letters (17)
        username: rabble (0.171695)                     repo: flatland/cake (17)
        username: mxcl (0.171693)                       repo: ryandotsmith/queue_classic (17)
        username: jamiebikies (0.171653)                repo: jkbr/httpie (17)
        username: josephwilk (0.171607)                 repo: oggy/template_streaming (17)
        username: mloughran (0.171582)                  repo: kriskowal/es5-shim (17)
        username: joefiorini (0.171526)                 repo: joshknowles/rspec-on-rails-matchers (17)
        username: frenchy64 (0.171502)                  repo: archiloque/rest-client (17)
        username: atebits (0.171432)                    repo: mranney/node_pcap (17)
        username: zachinglis (0.171417)                 repo: mwunsch/weary (17)
        username: mklabs (0.171386)                     repo: daneden/animate.css (17)
        username: tomafro (0.171318)                    repo: seattlerb/minitest (17)
        username: mental (0.171247)                     repo: ccgus/jstalk (16)
        username: lancepantz (0.171111)                 repo: rupa/z (16)
        username: jlongster (0.171107)                  repo: maccman/acts_as_recommendable (16)
        username: jasonjckn (0.171106)                  repo: seatgeek/soulmate (16)
        username: hohwald (0.171071)                    repo: soveran/micromachine (16)
        username: andreiz (0.171065)                    repo: aboekhoff/congomongo (16)
        username: nzoschke (0.170996)                   repo: omnigroup/OmniGroup (16)
        username: marcoarment (0.170976)                repo: darwin/visor (16)
        username: petere (0.170959)                     repo: bmabey/email-spec (16)
        username: toastdriven (0.170917)                repo: 37signals/wysihat (16)
        username: mranney (0.170819)                    repo: bazaarlabs/gitdocs (16)
        username: bsag (0.170605)                       repo: cavalle/steak (16)
        username: shashashasha (0.170595)               repo: lojjic/PIE (16)
        username: whitequark (0.170579)                 repo: cucumber/aruba (16)
        username: mongodb (0.170488)                    repo: jm/krauter (16)
        username: idan (0.170256)                       repo: raycmorgan/Mu (16)
        username: danlucraft (0.170209)                 repo: maccman/supermodel (16)
        username: jwr (0.170190)                        repo: augustl/net-http-cheat-sheet (16)
        username: miksago (0.170065)                    repo: steelThread/redmon (16)
        username: eviltwin (0.170020)                   repo: joshbuddy/usher (16)
        username: ubernostrum (0.169968)                repo: voloko/sdoc (16)
        username: graemerocher (0.169940)               repo: josevalim/active_model_serializers (16)
        username: alkemist (0.169940)                   repo: yahoo/boomerang (16)
        username: addyosmani (0.169936)                 repo: LearnBoost/node-canvas (16)
        username: seaofclouds (0.169906)                repo: courtenay/altered_beast (16)
        username: josephruscio (0.169850)               repo: danwrong/restler (16)
        username: alloy (0.169807)                      repo: airblade/paper_trail (16)
        username: benoitc (0.169755)                    repo: jquery/jquery-ui (16)
        username: imanel (0.169733)                     repo: manveru/ramaze (16)
        username: tsnk (0.169617)                       repo: addyosmani/todomvc (16)
        username: yhancik (0.169617)                    repo: shutterstock/rickshaw (16)
        username: cinsoft (0.169614)                    repo: jochu/clojure-mode (16)
        username: HandBrake (0.169590)                  repo: meteor/meteor (16)
        username: davisp (0.169572)                     repo: atduskgreg/rad (16)
        username: ignu (0.169553)                       repo: scalatra/scalatra (16)
        username: kolektiv (0.169447)                   repo: antirez/lamernews (16)
        username: leafychat (0.169434)                  repo: entp/xtt (16)
        username: lynaghk (0.169404)                    repo: andreasgal/dom.js (16)
        username: strzalek (0.169388)                   repo: leachim6/hello-world (16)
        username: smtlaissezfaire (0.169349)            repo: cgrand/moustache (16)
        username: seanohalpin (0.169340)                repo: getify/LABjs (16)
        username: squadette (0.169267)                  repo: mynyml/holygrail (16)
        username: kamipo (0.169183)                     repo: jdalton/fusejs (16)
        username: progrium (0.168887)                   repo: norman/friendly_id (16)
        username: kabus (0.168836)                      repo: rediscookbook/rediscookbook (16)
        username: eston (0.168789)                      repo: purzelrakete/workling (16)
        username: jgv (0.168736)                        repo: rkh/async-rack (16)
        username: tanoku (0.168706)                     repo: rvirding/lfe (16)
        username: gregnewman (0.168703)                 repo: ericjohnson/canabalt-ios (16)
        username: akdubya (0.168690)                    repo: daveray/seesaw (16)
        username: dakrone (0.168611)                    repo: fogus/potion (16)
        username: Strubbl (0.168600)                    repo: creationix/wheat (16)
        username: assaf (0.168542)                      repo: Fingertips/Miso (16)
        username: richdougherty (0.168510)              repo: jaz303/tipsy (16)
        username: vogievetsky (0.168482)                repo: Shopify/liquid (16)
        username: scytrin (0.168480)                    repo: 37signals/mail_view (16)
        username: ianwinter (0.168450)                  repo: carlosbrando/remarkable (16)
        username: jackyhung (0.168442)                  repo: yfactorial/objectiveresource (16)
        username: shapeshed (0.168431)                  repo: haraldmartin/things-rb (16)
        username: erikh (0.168429)                      repo: mezzoblue/PaintbrushJS (16)
        username: kch (0.168379)                        repo: jm/context (16)
        username: MacRuby (0.168379)                    repo: rtomayko/git-sh (16)
        username: davidpadbury (0.168234)               repo: halorgium/rack-client (16)
        username: grempe (0.168155)                     repo: functional-koans/clojure-koans (16)
        username: antifuchs (0.168139)                  repo: technoweenie/restful-authentication (16)
        username: lukegalea (0.168133)                  repo: sstephenson/stitch (16)
        username: devn (0.168070)                       repo: DmitryBaranovskiy/g.raphael (15)
        username: ohpauleez (0.168059)                  repo: CocoaPods/CocoaPods (15)
        username: neilconway (0.168053)                 repo: rails/jbuilder (15)
        username: scottgonzalez (0.168044)              repo: karmi/tire (15)
        username: stassats (0.168012)                   repo: intridea/hashie (15)
        username: kschiess (0.167972)                   repo: dustin/memcached (15)
        username: fzzzy (0.167961)                      repo: stefankroes/ancestry (15)
        username: joshsusser (0.167943)                 repo: mape/node-wargames (15)
        username: mikeash (0.167941)                    repo: rtomayko/posix-spawn (15)
        username: railsdog (0.167896)                   repo: jeresig/jquery.hotkeys (15)
        username: michael (0.167891)                    repo: jondot/graphene (15)
        username: BBB (0.167828)                        repo: rails/jquery-ujs (15)
        username: wayneeseguin (0.167737)               repo: schacon/git-pulls (15)
        username: croaky (0.167708)                     repo: SlexAxton/yepnope.js (15)
        username: jagregory (0.167666)                  repo: zeromq/libzmq (15)
        username: anthonyshort (0.167662)               repo: joshsusser/refraction (15)
        username: artismarti (0.167607)                 repo: dmajda/pegjs (15)
        username: alevett (0.167575)                    repo: middleman/middleman (15)
        username: mperham (0.167558)                    repo: probablycorey/seriously (15)
        username: buzzedword (0.167527)                 repo: ttilley/fssm (15)
        username: alanhogan (0.167527)                  repo: kyledrake/sinatra-synchrony (15)
        username: jjhamshaw (0.167421)                  repo: imajes/geokit (15)
        username: gshutler (0.167421)                   repo: celldee/bunny (15)
        username: adamgibbins (0.167421)                repo: revans/bash-it (15)
        username: trollsid (0.167421)                   repo: ginatrapani/ThinkUp (15)
        username: randyrobertson (0.167421)             repo: radiant/radiant (15)
        username: bpierre (0.167421)                    repo: mperham/girl_friday (15)
        username: lab-crossoversounds (0.167421)        repo: RubyMoney/money (15)
        username: tolmalev (0.167421)                   repo: igrigorik/rack-speedtracer (15)
        username: michael-romer (0.167421)              repo: timcharper/git-tmbundle (15)
        username: javier (0.167421)                     repo: thoughtbot/bourbon (15)
        username: vorporeal (0.167421)                  repo: potionfactory/potionstore (15)
        username: zethraeus (0.167421)                  repo: chjj/marked (15)
        username: tbradshaw (0.167421)                  repo: mojombo/mustache.erl (15)
        username: tomasdev (0.167421)                   repo: gma/nesta (15)
        username: theseer (0.167421)                    repo: NZKoz/rails_xss (15)
        username: LeDominik (0.167421)                  repo: bmizerany/onis (15)
        username: burkemw3 (0.167421)                   repo: pufuwozu/roy (15)
        username: mrpdaemon (0.167421)                  repo: stuartsierra/lazytest (15)
        username: mw44118 (0.167421)                    repo: defunkt/cache_fu (15)
        username: spiceee (0.167421)                    repo: resolve/refinerycms (15)
        username: aefo (0.167421)                       repo: evilchelu/braid (15)
        username: michael1 (0.167421)                   repo: JustinTulloss/zeromq.node (15)
        username: trivoallan (0.167421)                 repo: cjohansen/juicer (15)
        username: eugeneiiim (0.167421)                 repo: progrium/hookah (15)
        username: discoltk (0.167421)                   repo: Kicksend/mailcheck (15)
        username: cwarden (0.167421)                    repo: igrigorik/autoperf (15)
        username: rightjs (0.167421)                    repo: cowboy/jquery-bbq (15)
        username: cdickmann (0.167421)                  repo: sickill/racksh (15)
        username: rzk (0.167421)                        repo: couchapp/couchapp (15)
        username: chooh (0.167421)                      repo: carllerche/rack-router (15)
        username: koblin (0.167269)                     repo: mojombo/primer (15)
        username: hakimel (0.167253)                    repo: fabric/fabric (15)
        username: jdp (0.167233)                        repo: astro/gitpop (15)
        username: jdunck (0.167077)                     repo: quil/quil (15)
        username: android (0.167036)                    repo: stevedekorte/vertex.js (15)
        username: spoletto (0.166966)                   repo: tlrobinson/jack (15)
        username: silentbicycle (0.166943)              repo: flatiron/winston (15)
        username: yaroslav (0.166840)                   repo: creationix/step (15)
        username: emuzis (0.166739)                     repo: JackDanger/jack (15)
        username: londonhackspace (0.166618)            repo: nowells/git-goggles (15)
        username: Gozala (0.166542)                     repo: libgit2/rugged (15)
        username: justin-ardini (0.166511)              repo: webmat/git_remote_branch (15)
        username: wandernauta (0.166440)                repo: al3x/git-wiki (15)
        username: frsyuki (0.166415)                    repo: simonw/djangode (15)
        username: clintecker (0.166389)                 repo: wycats/irb2 (15)
        username: reinh (0.166387)                      repo: flatland/lazybot (15)
        username: chad (0.166328)                       repo: laverdet/node-fibers (15)
        username: sykopomp (0.166318)                   repo: briancollins/nice_find (15)
        username: paulp (0.166211)                      repo: desandro/isotope (15)
        username: tobeytailor (0.166190)                repo: obfuscurity/tasseo (15)
        username: fat (0.166092)                        repo: euruko2012/call-for-proposals (15)
        username: thechrisoshow (0.166003)              repo: jeresig/fireunit (15)
        username: icaruswings (0.166001)                repo: benpickles/js-model (15)
        username: amcnamara (0.165997)                  repo: visionmedia/commander (15)
        username: codeslinger (0.165959)                repo: mojombo/sf-vegetarian-restaurants (15)
        username: vlm (0.165906)                        repo: jmechner/Prince-of-Persia-Apple-II (15)
        username: fpanwaskar (0.165897)                 repo: sprsquish/blather (15)
        username: karlcow (0.165861)                    repo: paperjs/paper.js (15)
        username: avdi (0.165800)                       repo: clojure/clojure-contrib (15)
        username: gyazo (0.165792)                      repo: h5bp/lazyweb-requests (15)
        username: sintaxi (0.165777)                    repo: dambalah/api-throttling (15)
        username: bob-smith (0.165775)                  repo: dhh/tolk (15)
        username: erishine (0.165770)                   repo: famoseagle/carrot (15)
        username: simplybusiness (0.165770)             repo: danvk/dygraphs (15)
        username: pc (0.165711)                         repo: jpf/domain-profiler (15)
        username: tuaw (0.165704)                       repo: rsms/cocui (15)
        username: lincolnloop (0.165694)                repo: collectiveidea/tinder (15)
        username: tlossen (0.165673)                    repo: creationix/howtonode.org (15)
        username: jduey (0.165493)                      repo: pgte/fugue (15)
        username: evanmiller (0.165484)                 repo: defunkt/redis-namespace (15)
        username: burtbeckwith (0.165450)               repo: bmabey/database_cleaner (15)
        username: pledbrook (0.165450)                  repo: jamesgolick/trample (15)
        username: mkhl (0.165444)                       repo: weavejester/hiccup (15)
        username: matsadler (0.165385)                  repo: blueimp/jQuery-File-Upload (15)
        username: goruco (0.165359)                     repo: jwiegley/git-scripts (15)
        username: miyagawa (0.165351)                   repo: aredridel/html5 (14)
        username: rwldrn (0.165239)                     repo: delano/gibbler (14)
        username: floere (0.165230)                     repo: mauricemach/coffeekup (14)
        username: wjessop (0.165169)                    repo: wr0ngway/rubber (14)
        username: iainurquhart (0.165134)               repo: micha/jsawk (14)
        username: bjoernknafla (0.165105)               repo: ubuwaits/css3-buttons (14)
        username: rocky (0.165082)                      repo: LearnBoost/mongoose (14)
        username: stoyan (0.165052)                     repo: ctran/annotate_models (14)
        username: merlinmann (0.165042)                 repo: jessesielaff/red (14)
        username: mynyml (0.165028)                     repo: tonyg/reversehttp (14)
        username: seancribbs (0.164969)                 repo: railsbp/rails_best_practices (14)
        username: tater (0.164942)                      repo: mperham/rack-fiber_pool (14)
        username: bleikamp (0.164903)                   repo: mde/geddy (14)
        username: apenwarr (0.164902)                   repo: igrigorik/bloomfilter-rb (14)
        username: jgeewax (0.164870)                    repo: jbrownlee/CleverAlgorithms (14)
        username: petermichaux (0.164836)               repo: paperlesspost/graphiti (14)
        username: homakov (0.164778)                    repo: alex/django-filter (14)
        username: jamierumbelow (0.164753)              repo: mislav/nibbler (14)
        username: hone (0.164687)                       repo: johnezang/JSONKit (14)
        username: zc00gii (0.164687)                    repo: karmi/marley (14)
        username: nicksieger (0.164583)                 repo: ha/doozer (14)
        username: abedra (0.164555)                     repo: jchris/sofa (14)
        username: sco (0.164546)                        repo: entp/seinfeld (14)
        username: tylerhall (0.164531)                  repo: substack/node-browserify (14)
        username: bruce (0.164517)                      repo: padolsey/prettyPrint.js (14)
        username: amphibian (0.164497)                  repo: igrigorik/async-rails (14)
        username: ericcj (0.164475)                     repo: insoshi/insoshi (14)
        username: zachstronaut (0.164334)               repo: RISCfuture/dropbox (14)
        username: feyeleanor (0.164319)                 repo: defunkt/repl (14)
        username: andrew (0.164275)                     repo: rodreegez/powder (14)
        username: jr (0.164171)                         repo: amitrathore/swarmiji (14)
        username: daveverwer (0.164133)                 repo: seppo0010/redislite (14)
        username: jaked (0.164124)                      repo: madsimian/em-redis (14)
        username: noahd1 (0.164096)                     repo: joho/7XX-rfc (14)
        username: weplay (0.164096)                     repo: geuis/helium-css (14)
        username: wesabe (0.164060)                     repo: gregbell/active_admin (14)
        username: dabeaz (0.164047)                     repo: creationix/node-persistence (14)
        username: SlexAxton (0.164006)                  repo: jeresig/env-js (14)
        username: lukaso (0.164001)                     repo: git/git (14)
        username: amar-shah (0.164001)                  repo: davidaurelio/TouchScroll (14)
        username: trotter (0.163970)                    repo: fudgestudios/bort (14)
        username: coleGillespie (0.163952)              repo: Codeux/Textual (14)
        username: sehwoo (0.163809)                     repo: jquery/jquery-tmpl (14)
        username: nathanborror (0.163773)               repo: mnot/htracr (14)
        username: jheer (0.163765)                      repo: marcel/aws-s3 (14)
        username: joelbradbury (0.163673)               repo: hoisie/web (14)
        username: joshbuddy (0.163637)                  repo: DanielWaterworth/Raphters (14)
        username: fizx (0.163615)                       repo: jarib/celerity (14)
        username: elliottcable (0.163601)               repo: ato/clojars-web (14)
        username: aredridel (0.163557)                  repo: cappuccino/aristo (14)
        username: sunlightlabs (0.163458)               repo: pivotal/cedar (14)
        username: stuartloxton (0.163457)               repo: phiggins42/has.js (14)
        username: jnoller (0.163358)                    repo: methodmissing/hwia (14)
        username: apgwoz (0.163323)                     repo: headius/duby (14)
        username: TooTallNate (0.163233)                repo: imakewebthings/jquery-waypoints (14)
        username: rfonglip (0.163176)                   repo: philogb/v8-gl (14)
        username: nikitachernov (0.163176)              repo: vigetlabs/garb (14)
        username: FrictionalGames (0.163176)            repo: 4clojure/4clojure (14)
        username: leesbian (0.163176)                   repo: MagLev/maglev (14)
        username: arkhi (0.163176)                      repo: cldwalker/hirb (14)
        username: laszpio (0.163176)                    repo: brunch/brunch (14)
        username: ickymettle (0.163176)                 repo: swank-js/swank-js (14)
        username: doubleencore (0.163176)               repo: ajaxorg/cloud9 (14)
        username: angelsk (0.163176)                    repo: maccman/roauth (14)
        username: luvit (0.163176)                      repo: michaeledgar/laser (14)
        username: Gipetto (0.163176)                    repo: digg/lazyboy (14)
        username: aav (0.163176)                        repo: mperham/evented (14)
        username: prakashsejwani (0.163176)             repo: ccampbell/rainbow (14)
        username: textgoeshere (0.163176)               repo: moxiecode/plupload (14)
        username: jamesrose (0.163176)                  repo: bitlove/objectify (14)
        username: mazenovi (0.163176)                   repo: ry/node_chat (14)
        username: iamruinous (0.163176)                 repo: tsion/oos (14)
        username: romannurik (0.163176)                 repo: tenderlove/phuby (14)
        username: smuehlst (0.163176)                   repo: jbarnette/pastejour (14)
        username: anselmo (0.163176)                    repo: apenwarr/redo (14)
        username: voodoochild (0.163176)                repo: LearnBoost/cluster (14)
        username: rohannog (0.163176)                   repo: jonase/kibit (14)
        username: fangsgiving (0.163176)                repo: mdub/sham_rack (14)
        username: chrisrhee (0.163176)                  repo: qerub/rack-esi (14)
        username: Aze (0.163176)                        repo: auser/wonderland (14)
        username: kbansner (0.163176)                   repo: kangax/fabric.js (14)
        username: 7CIgmcwhinney (0.163176)              repo: brentonashworth/one (14)
        username: kotarak (0.163176)                    repo: atebits/SimFinger (14)
        username: pdwryst (0.163176)                    repo: jonleighton/focused_controller (14)
        username: timkay (0.163176)                     repo: fatfreecrm/fat_free_crm (14)
        username: avandecreme (0.163176)                repo: drnic/choctop (14)
        username: dnurzynski (0.163176)                 repo: shyouhei/ruby (14)
        username: davidpersson (0.163176)               repo: grosser/parallel_tests (14)
        username: ryderr (0.163176)                     repo: arohner/scriptjure (14)
